ID,dim::annotator_index,dim::score_band,res::score,res::z_score,dim::system,dim::sentence_id,desc::original,desc::simplification,desc::generation_raw
simpeval-00001,1,61-80,68,0.2732133847494461,asset.test.simp,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,"Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour.","Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour."
simpeval-00002,2,81-100,90,1.1675035516985128,asset.test.simp,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,"Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour.","Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour."
simpeval-00003,3,81-100,96,1.1070220342827175,asset.test.simp,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,"Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour.","Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour."
simpeval-00004,4,81-100,85,0.737098109856763,asset.test.simp,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,"Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour.","Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour."
simpeval-00005,5,81-100,100,0.8746586700111324,asset.test.simp,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,"Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour.","Later, Weelkes found himself in trouble with the Chichester Cathedral authorities for his drunk and inappropriate behaviour."
simpeval-00006,1,61-80,65,0.0895857849984965,SEMoses_all,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and bad behavior.,Weelkes was later to find himself in trouble with the Chichester cathedral authorities for his heavy drinking and bad Behavior.
simpeval-00007,2,81-100,82,0.216457973579816,SEMoses_all,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and bad behavior.,Weelkes was later to find himself in trouble with the Chichester cathedral authorities for his heavy drinking and bad Behavior.
simpeval-00008,3,81-100,95,1.036964443008244,SEMoses_all,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and bad behavior.,Weelkes was later to find himself in trouble with the Chichester cathedral authorities for his heavy drinking and bad Behavior.
simpeval-00009,4,61-80,80,0.5348519923949123,SEMoses_all,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and bad behavior.,Weelkes was later to find himself in trouble with the Chichester cathedral authorities for his heavy drinking and bad Behavior.
simpeval-00010,5,81-100,100,0.8746586700111324,SEMoses_all,11,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and bad behavior.,Weelkes was later to find himself in trouble with the Chichester cathedral authorities for his heavy drinking and bad Behavior.
