ID,dim::criterion,dim::rating,res::rating_code,dim::model,dim::worker_lang,dim::dataset,dim::article_id,desc::gem_id,desc::summary
seahorse-00001,comprehensibility,Yes,1,reference,de,mlsum_de,art-0abeab7f,mlsum_de-validation-631,"Rumhüpfen im Pilzland, mit dem Oktopus durch den Weltraum oder stundenlanges Blöcke-Verschieben: Zum runden Geburtstag von Nintendos Gameboy erinnerten sich SZ-Autoren an ihre schönsten Spiel-Erlebnisse. Und an eine besondere Enttäuschung."
seahorse-00002,repetition,Yes,1,reference,de,mlsum_de,art-0abeab7f,mlsum_de-validation-631,"Rumhüpfen im Pilzland, mit dem Oktopus durch den Weltraum oder stundenlanges Blöcke-Verschieben: Zum runden Geburtstag von Nintendos Gameboy erinnerten sich SZ-Autoren an ihre schönsten Spiel-Erlebnisse. Und an eine besondere Enttäuschung."
seahorse-00003,grammar,Yes,1,reference,de,mlsum_de,art-0abeab7f,mlsum_de-validation-631,"Rumhüpfen im Pilzland, mit dem Oktopus durch den Weltraum oder stundenlanges Blöcke-Verschieben: Zum runden Geburtstag von Nintendos Gameboy erinnerten sich SZ-Autoren an ihre schönsten Spiel-Erlebnisse. Und an eine besondere Enttäuschung."
seahorse-00004,attribution,No,0,reference,de,mlsum_de,art-0abeab7f,mlsum_de-validation-631,"Rumhüpfen im Pilzland, mit dem Oktopus durch den Weltraum oder stundenlanges Blöcke-Verschieben: Zum runden Geburtstag von Nintendos Gameboy erinnerten sich SZ-Autoren an ihre schönsten Spiel-Erlebnisse. Und an eine besondere Enttäuschung."
seahorse-00005,main_ideas,No,0,reference,de,mlsum_de,art-0abeab7f,mlsum_de-validation-631,"Rumhüpfen im Pilzland, mit dem Oktopus durch den Weltraum oder stundenlanges Blöcke-Verschieben: Zum runden Geburtstag von Nintendos Gameboy erinnerten sich SZ-Autoren an ihre schönsten Spiel-Erlebnisse. Und an eine besondere Enttäuschung."
seahorse-00006,conciseness,No,0,reference,de,mlsum_de,art-0abeab7f,mlsum_de-validation-631,"Rumhüpfen im Pilzland, mit dem Oktopus durch den Weltraum oder stundenlanges Blöcke-Verschieben: Zum runden Geburtstag von Nintendos Gameboy erinnerten sich SZ-Autoren an ihre schönsten Spiel-Erlebnisse. Und an eine besondere Enttäuschung."
seahorse-00007,comprehensibility,No,0,reference,de,wiki_lingua_german_de,art-b2276495,wiki_lingua_german_de-val-1589,"Wisse, wonach du suchst. Schätze die Farbe der Schale der Ananas ein. Fasse die Ananas an, um zu sehen, ob sie reif ist. Prüfe die Größe der Augen von oben nach unten. Rieche an der Ananas und lausche. Achte auf Verderb."
seahorse-00008,comprehensibility,Yes,1,reference,de,wiki_lingua_german_de,art-a4011e25,wiki_lingua_german_de-val-4083,Wasche dir die Hände.
seahorse-00009,repetition,Yes,1,reference,de,wiki_lingua_german_de,art-a4011e25,wiki_lingua_german_de-val-4083,Wasche dir die Hände.
seahorse-00010,grammar,Yes,1,reference,de,wiki_lingua_german_de,art-a4011e25,wiki_lingua_german_de-val-4083,Wasche dir die Hände.
seahorse-00011,attribution,Yes,1,reference,de,wiki_lingua_german_de,art-a4011e25,wiki_lingua_german_de-val-4083,Wasche dir die Hände.
seahorse-00012,main_ideas,No,0,reference,de,wiki_lingua_german_de,art-a4011e25,wiki_lingua_german_de-val-4083,Wasche dir die Hände.
seahorse-00013,conciseness,No,0,reference,de,wiki_lingua_german_de,art-a4011e25,wiki_lingua_german_de-val-4083,Wasche dir die Hände.
seahorse-00014,comprehensibility,Yes,1,reference,en-US,xlsum_english,art-0d1d4374,xlsum_english-validation-7376,"A painting of a Cumbrian landscape, described by the art critic and social thinker John Ruskin as a ""priceless possession"", is sold at auction in London for more than £200,000."
seahorse-00015,repetition,Yes,1,reference,en-US,xlsum_english,art-0d1d4374,xlsum_english-validation-7376,"A painting of a Cumbrian landscape, described by the art critic and social thinker John Ruskin as a ""priceless possession"", is sold at auction in London for more than £200,000."
seahorse-00016,grammar,Yes,1,reference,en-US,xlsum_english,art-0d1d4374,xlsum_english-validation-7376,"A painting of a Cumbrian landscape, described by the art critic and social thinker John Ruskin as a ""priceless possession"", is sold at auction in London for more than £200,000."
seahorse-00017,attribution,No,0,reference,en-US,xlsum_english,art-0d1d4374,xlsum_english-validation-7376,"A painting of a Cumbrian landscape, described by the art critic and social thinker John Ruskin as a ""priceless possession"", is sold at auction in London for more than £200,000."
seahorse-00018,main_ideas,Yes,1,reference,en-US,xlsum_english,art-0d1d4374,xlsum_english-validation-7376,"A painting of a Cumbrian landscape, described by the art critic and social thinker John Ruskin as a ""priceless possession"", is sold at auction in London for more than £200,000."
seahorse-00019,conciseness,No,0,reference,en-US,xlsum_english,art-0d1d4374,xlsum_english-validation-7376,"A painting of a Cumbrian landscape, described by the art critic and social thinker John Ruskin as a ""priceless possession"", is sold at auction in London for more than £200,000."
seahorse-00020,comprehensibility,Yes,1,reference,en-US,xlsum_english,art-74ab8eb2,xlsum_english-validation-1581,A German consumer association has filed a class action lawsuit against Volkswagen over the emissions scandal.
seahorse-00021,repetition,Yes,1,reference,en-US,xlsum_english,art-74ab8eb2,xlsum_english-validation-1581,A German consumer association has filed a class action lawsuit against Volkswagen over the emissions scandal.
seahorse-00022,grammar,Yes,1,reference,en-US,xlsum_english,art-74ab8eb2,xlsum_english-validation-1581,A German consumer association has filed a class action lawsuit against Volkswagen over the emissions scandal.
seahorse-00023,attribution,Yes,1,reference,en-US,xlsum_english,art-74ab8eb2,xlsum_english-validation-1581,A German consumer association has filed a class action lawsuit against Volkswagen over the emissions scandal.
seahorse-00024,main_ideas,Yes,1,reference,en-US,xlsum_english,art-74ab8eb2,xlsum_english-validation-1581,A German consumer association has filed a class action lawsuit against Volkswagen over the emissions scandal.
seahorse-00025,conciseness,Yes,1,reference,en-US,xlsum_english,art-74ab8eb2,xlsum_english-validation-1581,A German consumer association has filed a class action lawsuit against Volkswagen over the emissions scandal.
seahorse-00026,comprehensibility,Yes,1,t5_base,en-US,xsum,art-c364f663,xsum-validation-413,A missing person has been arrested after a police operation to find him.
seahorse-00027,repetition,Yes,1,t5_base,en-US,xsum,art-c364f663,xsum-validation-413,A missing person has been arrested after a police operation to find him.
seahorse-00028,grammar,No,0,t5_base,en-US,xsum,art-c364f663,xsum-validation-413,A missing person has been arrested after a police operation to find him.
seahorse-00029,attribution,No,0,t5_base,en-US,xsum,art-c364f663,xsum-validation-413,A missing person has been arrested after a police operation to find him.
seahorse-00030,main_ideas,No,0,t5_base,en-US,xsum,art-c364f663,xsum-validation-413,A missing person has been arrested after a police operation to find him.
seahorse-00031,conciseness,No,0,t5_base,en-US,xsum,art-c364f663,xsum-validation-413,A missing person has been arrested after a police operation to find him.
seahorse-00032,comprehensibility,Yes,1,t5_xxl,en-US,wiki_lingua_english_en,art-4f94e045,wiki_lingua_english_en-val-7833,"Watch for tremors. Notice if your muscles feel rigid. Watch for constipation. Look for changes in your handwriting. Listen to the tone and speed of your voice. Notice a loss of smell. Pay attention to sleep problems. Watch for dizziness, slurred speech, and falls."
seahorse-00033,repetition,Yes,1,t5_xxl,en-US,wiki_lingua_english_en,art-4f94e045,wiki_lingua_english_en-val-7833,"Watch for tremors. Notice if your muscles feel rigid. Watch for constipation. Look for changes in your handwriting. Listen to the tone and speed of your voice. Notice a loss of smell. Pay attention to sleep problems. Watch for dizziness, slurred speech, and falls."
seahorse-00034,grammar,Yes,1,t5_xxl,en-US,wiki_lingua_english_en,art-4f94e045,wiki_lingua_english_en-val-7833,"Watch for tremors. Notice if your muscles feel rigid. Watch for constipation. Look for changes in your handwriting. Listen to the tone and speed of your voice. Notice a loss of smell. Pay attention to sleep problems. Watch for dizziness, slurred speech, and falls."
seahorse-00035,attribution,No,0,t5_xxl,en-US,wiki_lingua_english_en,art-4f94e045,wiki_lingua_english_en-val-7833,"Watch for tremors. Notice if your muscles feel rigid. Watch for constipation. Look for changes in your handwriting. Listen to the tone and speed of your voice. Notice a loss of smell. Pay attention to sleep problems. Watch for dizziness, slurred speech, and falls."
seahorse-00036,main_ideas,Yes,1,t5_xxl,en-US,wiki_lingua_english_en,art-4f94e045,wiki_lingua_english_en-val-7833,"Watch for tremors. Notice if your muscles feel rigid. Watch for constipation. Look for changes in your handwriting. Listen to the tone and speed of your voice. Notice a loss of smell. Pay attention to sleep problems. Watch for dizziness, slurred speech, and falls."
seahorse-00037,conciseness,No,0,t5_xxl,en-US,wiki_lingua_english_en,art-4f94e045,wiki_lingua_english_en-val-7833,"Watch for tremors. Notice if your muscles feel rigid. Watch for constipation. Look for changes in your handwriting. Listen to the tone and speed of your voice. Notice a loss of smell. Pay attention to sleep problems. Watch for dizziness, slurred speech, and falls."
seahorse-00038,comprehensibility,Yes,1,reference,ru,wiki_lingua_russian_ru,art-a735227a,wiki_lingua_russian_ru-val-511,Запустите iTunes на мобильном устройстве или компьютере. Перейдите в магазин iTunes. Нажмите «Погасить» или «Активировать». Авторизуйтесь в своем аккаунте Apple. Введите код карты.
seahorse-00039,repetition,Yes,1,reference,ru,wiki_lingua_russian_ru,art-a735227a,wiki_lingua_russian_ru-val-511,Запустите iTunes на мобильном устройстве или компьютере. Перейдите в магазин iTunes. Нажмите «Погасить» или «Активировать». Авторизуйтесь в своем аккаунте Apple. Введите код карты.
seahorse-00040,grammar,Yes,1,reference,ru,wiki_lingua_russian_ru,art-a735227a,wiki_lingua_russian_ru-val-511,Запустите iTunes на мобильном устройстве или компьютере. Перейдите в магазин iTunes. Нажмите «Погасить» или «Активировать». Авторизуйтесь в своем аккаунте Apple. Введите код карты.
seahorse-00041,attribution,Yes,1,reference,ru,wiki_lingua_russian_ru,art-a735227a,wiki_lingua_russian_ru-val-511,Запустите iTunes на мобильном устройстве или компьютере. Перейдите в магазин iTunes. Нажмите «Погасить» или «Активировать». Авторизуйтесь в своем аккаунте Apple. Введите код карты.
seahorse-00042,main_ideas,Yes,1,reference,ru,wiki_lingua_russian_ru,art-a735227a,wiki_lingua_russian_ru-val-511,Запустите iTunes на мобильном устройстве или компьютере. Перейдите в магазин iTunes. Нажмите «Погасить» или «Активировать». Авторизуйтесь в своем аккаунте Apple. Введите код карты.
seahorse-00043,conciseness,Yes,1,reference,ru,wiki_lingua_russian_ru,art-a735227a,wiki_lingua_russian_ru-val-511,Запустите iTunes на мобильном устройстве или компьютере. Перейдите в магазин iTunes. Нажмите «Погасить» или «Активировать». Авторизуйтесь в своем аккаунте Apple. Введите код карты.
seahorse-00044,comprehensibility,Yes,1,t5_base_250steps,en-US,xsum,art-e4f6bf51,xsum-validation-786,The pound has risen 1% against the euro after the Supreme Court ruled that the pound could be triggered by the enactment of Article 50.
seahorse-00045,repetition,Yes,1,t5_base_250steps,en-US,xsum,art-e4f6bf51,xsum-validation-786,The pound has risen 1% against the euro after the Supreme Court ruled that the pound could be triggered by the enactment of Article 50.
seahorse-00046,grammar,Yes,1,t5_base_250steps,en-US,xsum,art-e4f6bf51,xsum-validation-786,The pound has risen 1% against the euro after the Supreme Court ruled that the pound could be triggered by the enactment of Article 50.
seahorse-00047,attribution,No,0,t5_base_250steps,en-US,xsum,art-e4f6bf51,xsum-validation-786,The pound has risen 1% against the euro after the Supreme Court ruled that the pound could be triggered by the enactment of Article 50.
seahorse-00048,main_ideas,Yes,1,t5_base_250steps,en-US,xsum,art-e4f6bf51,xsum-validation-786,The pound has risen 1% against the euro after the Supreme Court ruled that the pound could be triggered by the enactment of Article 50.
seahorse-00049,conciseness,No,0,t5_base_250steps,en-US,xsum,art-e4f6bf51,xsum-validation-786,The pound has risen 1% against the euro after the Supreme Court ruled that the pound could be triggered by the enactment of Article 50.
seahorse-00050,comprehensibility,Yes,1,reference,en-US,xsum,art-67ef0624,xsum-validation-424,Retaking Sinjar would be extremely important strategically and for the morale of the Kurdish people in their fight against so-called Islamic State (IS) - but what happens in the days and weeks afterwards will be crucial.
seahorse-00051,repetition,Yes,1,reference,en-US,xsum,art-67ef0624,xsum-validation-424,Retaking Sinjar would be extremely important strategically and for the morale of the Kurdish people in their fight against so-called Islamic State (IS) - but what happens in the days and weeks afterwards will be crucial.
seahorse-00052,grammar,Yes,1,reference,en-US,xsum,art-67ef0624,xsum-validation-424,Retaking Sinjar would be extremely important strategically and for the morale of the Kurdish people in their fight against so-called Islamic State (IS) - but what happens in the days and weeks afterwards will be crucial.
seahorse-00053,attribution,Yes,1,reference,en-US,xsum,art-67ef0624,xsum-validation-424,Retaking Sinjar would be extremely important strategically and for the morale of the Kurdish people in their fight against so-called Islamic State (IS) - but what happens in the days and weeks afterwards will be crucial.
seahorse-00054,main_ideas,Yes,1,reference,en-US,xsum,art-67ef0624,xsum-validation-424,Retaking Sinjar would be extremely important strategically and for the morale of the Kurdish people in their fight against so-called Islamic State (IS) - but what happens in the days and weeks afterwards will be crucial.
seahorse-00055,conciseness,Yes,1,reference,en-US,xsum,art-67ef0624,xsum-validation-424,Retaking Sinjar would be extremely important strategically and for the morale of the Kurdish people in their fight against so-called Islamic State (IS) - but what happens in the days and weeks afterwards will be crucial.
seahorse-00056,comprehensibility,Yes,1,reference,en-US,xsum,art-c364f663,xsum-validation-413,"Police say they want to help bring ""closure"" to the family of a missing Aberdeenshire man, one year after his disappearance."
seahorse-00057,repetition,Yes,1,reference,en-US,xsum,art-c364f663,xsum-validation-413,"Police say they want to help bring ""closure"" to the family of a missing Aberdeenshire man, one year after his disappearance."
seahorse-00058,grammar,Yes,1,reference,en-US,xsum,art-c364f663,xsum-validation-413,"Police say they want to help bring ""closure"" to the family of a missing Aberdeenshire man, one year after his disappearance."
seahorse-00059,attribution,No,0,reference,en-US,xsum,art-c364f663,xsum-validation-413,"Police say they want to help bring ""closure"" to the family of a missing Aberdeenshire man, one year after his disappearance."
seahorse-00060,main_ideas,No,0,reference,en-US,xsum,art-c364f663,xsum-validation-413,"Police say they want to help bring ""closure"" to the family of a missing Aberdeenshire man, one year after his disappearance."
seahorse-00061,conciseness,No,0,reference,en-US,xsum,art-c364f663,xsum-validation-413,"Police say they want to help bring ""closure"" to the family of a missing Aberdeenshire man, one year after his disappearance."
seahorse-00062,comprehensibility,No,0,t5_base,en-US,xsum,art-cd38524e,xsum-validation-700,The Indian messaging app Hike has raised more than $175m ( ⁇ £175m) in funding from China's Tencent.
seahorse-00063,comprehensibility,Yes,1,reference,de,wiki_lingua_german_de,art-c9a8bf86,wiki_lingua_german_de-val-1524,"Isoliere den Hund. Geh mit deinem Hund zum Tierarzt. Besorge Antibiotika, wenn nötig. Setzte deinen Hund Dampf aus. Lass den Hund ruhen. Verabreiche ihm Hustenmedizin. Beruhige den Reiz im Hals. Stärke das Immunsystem des Hundes. Verhindere zukünftige Infektionen mit einer Impfung."
seahorse-00064,repetition,Yes,1,reference,de,wiki_lingua_german_de,art-c9a8bf86,wiki_lingua_german_de-val-1524,"Isoliere den Hund. Geh mit deinem Hund zum Tierarzt. Besorge Antibiotika, wenn nötig. Setzte deinen Hund Dampf aus. Lass den Hund ruhen. Verabreiche ihm Hustenmedizin. Beruhige den Reiz im Hals. Stärke das Immunsystem des Hundes. Verhindere zukünftige Infektionen mit einer Impfung."
seahorse-00065,grammar,Yes,1,reference,de,wiki_lingua_german_de,art-c9a8bf86,wiki_lingua_german_de-val-1524,"Isoliere den Hund. Geh mit deinem Hund zum Tierarzt. Besorge Antibiotika, wenn nötig. Setzte deinen Hund Dampf aus. Lass den Hund ruhen. Verabreiche ihm Hustenmedizin. Beruhige den Reiz im Hals. Stärke das Immunsystem des Hundes. Verhindere zukünftige Infektionen mit einer Impfung."
seahorse-00066,attribution,Yes,1,reference,de,wiki_lingua_german_de,art-c9a8bf86,wiki_lingua_german_de-val-1524,"Isoliere den Hund. Geh mit deinem Hund zum Tierarzt. Besorge Antibiotika, wenn nötig. Setzte deinen Hund Dampf aus. Lass den Hund ruhen. Verabreiche ihm Hustenmedizin. Beruhige den Reiz im Hals. Stärke das Immunsystem des Hundes. Verhindere zukünftige Infektionen mit einer Impfung."
seahorse-00067,main_ideas,No,0,reference,de,wiki_lingua_german_de,art-c9a8bf86,wiki_lingua_german_de-val-1524,"Isoliere den Hund. Geh mit deinem Hund zum Tierarzt. Besorge Antibiotika, wenn nötig. Setzte deinen Hund Dampf aus. Lass den Hund ruhen. Verabreiche ihm Hustenmedizin. Beruhige den Reiz im Hals. Stärke das Immunsystem des Hundes. Verhindere zukünftige Infektionen mit einer Impfung."
seahorse-00068,conciseness,No,0,reference,de,wiki_lingua_german_de,art-c9a8bf86,wiki_lingua_german_de-val-1524,"Isoliere den Hund. Geh mit deinem Hund zum Tierarzt. Besorge Antibiotika, wenn nötig. Setzte deinen Hund Dampf aus. Lass den Hund ruhen. Verabreiche ihm Hustenmedizin. Beruhige den Reiz im Hals. Stärke das Immunsystem des Hundes. Verhindere zukünftige Infektionen mit einer Impfung."
seahorse-00069,comprehensibility,Yes,1,reference,de,wiki_lingua_german_de,art-39520954,wiki_lingua_german_de-val-275,Kaufe oder stelle Modellierkleber her. Trage den Modellierkleber in einer gleichmäßigen Schicht auf das Holz auf. Lege den Stoff über den Modellierkleber. Glätte etwaige Falten mit deinen Händen. Lasse den Modellierkleber 24 Stunden lang trocknen. Schneide den überschüssigen Stoff ab.
seahorse-00070,repetition,Yes,1,reference,de,wiki_lingua_german_de,art-39520954,wiki_lingua_german_de-val-275,Kaufe oder stelle Modellierkleber her. Trage den Modellierkleber in einer gleichmäßigen Schicht auf das Holz auf. Lege den Stoff über den Modellierkleber. Glätte etwaige Falten mit deinen Händen. Lasse den Modellierkleber 24 Stunden lang trocknen. Schneide den überschüssigen Stoff ab.
seahorse-00071,grammar,Yes,1,reference,de,wiki_lingua_german_de,art-39520954,wiki_lingua_german_de-val-275,Kaufe oder stelle Modellierkleber her. Trage den Modellierkleber in einer gleichmäßigen Schicht auf das Holz auf. Lege den Stoff über den Modellierkleber. Glätte etwaige Falten mit deinen Händen. Lasse den Modellierkleber 24 Stunden lang trocknen. Schneide den überschüssigen Stoff ab.
seahorse-00072,attribution,No,0,reference,de,wiki_lingua_german_de,art-39520954,wiki_lingua_german_de-val-275,Kaufe oder stelle Modellierkleber her. Trage den Modellierkleber in einer gleichmäßigen Schicht auf das Holz auf. Lege den Stoff über den Modellierkleber. Glätte etwaige Falten mit deinen Händen. Lasse den Modellierkleber 24 Stunden lang trocknen. Schneide den überschüssigen Stoff ab.
seahorse-00073,main_ideas,No,0,reference,de,wiki_lingua_german_de,art-39520954,wiki_lingua_german_de-val-275,Kaufe oder stelle Modellierkleber her. Trage den Modellierkleber in einer gleichmäßigen Schicht auf das Holz auf. Lege den Stoff über den Modellierkleber. Glätte etwaige Falten mit deinen Händen. Lasse den Modellierkleber 24 Stunden lang trocknen. Schneide den überschüssigen Stoff ab.
seahorse-00074,conciseness,No,0,reference,de,wiki_lingua_german_de,art-39520954,wiki_lingua_german_de-val-275,Kaufe oder stelle Modellierkleber her. Trage den Modellierkleber in einer gleichmäßigen Schicht auf das Holz auf. Lege den Stoff über den Modellierkleber. Glätte etwaige Falten mit deinen Händen. Lasse den Modellierkleber 24 Stunden lang trocknen. Schneide den überschüssigen Stoff ab.
seahorse-00075,comprehensibility,Yes,1,reference,de,wiki_lingua_german_de,art-91b70fd8,wiki_lingua_german_de-val-4623,"Benuzte einen kleinen Schraubendreher, um die Schrauben von der Brille zu entfernen. Achte darauf, dass die neuen Gläser mit der Nut an der Innenseite der Fassung richtig übereinstimmen. Setze die Schrauben wieder ein, um die neuen Linsen an Ort und Stelle zu halten. Wische die Ersatzlinsen mit Reinigungslösung ab."
seahorse-00076,repetition,Yes,1,reference,de,wiki_lingua_german_de,art-91b70fd8,wiki_lingua_german_de-val-4623,"Benuzte einen kleinen Schraubendreher, um die Schrauben von der Brille zu entfernen. Achte darauf, dass die neuen Gläser mit der Nut an der Innenseite der Fassung richtig übereinstimmen. Setze die Schrauben wieder ein, um die neuen Linsen an Ort und Stelle zu halten. Wische die Ersatzlinsen mit Reinigungslösung ab."
seahorse-00077,grammar,Yes,1,reference,de,wiki_lingua_german_de,art-91b70fd8,wiki_lingua_german_de-val-4623,"Benuzte einen kleinen Schraubendreher, um die Schrauben von der Brille zu entfernen. Achte darauf, dass die neuen Gläser mit der Nut an der Innenseite der Fassung richtig übereinstimmen. Setze die Schrauben wieder ein, um die neuen Linsen an Ort und Stelle zu halten. Wische die Ersatzlinsen mit Reinigungslösung ab."
seahorse-00078,attribution,No,0,reference,de,wiki_lingua_german_de,art-91b70fd8,wiki_lingua_german_de-val-4623,"Benuzte einen kleinen Schraubendreher, um die Schrauben von der Brille zu entfernen. Achte darauf, dass die neuen Gläser mit der Nut an der Innenseite der Fassung richtig übereinstimmen. Setze die Schrauben wieder ein, um die neuen Linsen an Ort und Stelle zu halten. Wische die Ersatzlinsen mit Reinigungslösung ab."
seahorse-00079,main_ideas,No,0,reference,de,wiki_lingua_german_de,art-91b70fd8,wiki_lingua_german_de-val-4623,"Benuzte einen kleinen Schraubendreher, um die Schrauben von der Brille zu entfernen. Achte darauf, dass die neuen Gläser mit der Nut an der Innenseite der Fassung richtig übereinstimmen. Setze die Schrauben wieder ein, um die neuen Linsen an Ort und Stelle zu halten. Wische die Ersatzlinsen mit Reinigungslösung ab."
